speaker,word,n,total,tf,idf,tf_idf
Steve Bullock (MT-D),montanan,6,5209,0.002591792656587473,3.912023005428146,0.010139152497869924
Steve Bullock (MT-D),lisa,4,5209,0.0017278617710583153,3.2188758248682006,0.005561772483573564
Steve Bullock (MT-D),tribe,4,5209,0.0017278617710583153,2.302585092994046,0.003978548756793168
Steve Bullock (MT-D),americorps,3,5209,0.0012958963282937365,2.8134107167600364,0.003645888617831581
Steve Bullock (MT-D),montana's,3,5209,0.0012958963282937365,3.912023005428146,0.005069576248934962
Steve Bullock (MT-D),shell,3,5209,0.0012958963282937365,2.8134107167600364,0.003645888617831581
Steve Sisolak (NV-D),nevada,118,21032,0.011708672355626117,2.8134107167600364,0.0329413042843505
Steve Sisolak (NV-D),nv,71,21032,0.007045048620758087,3.2188758248682006,0.022677136690379268
Steve Sisolak (NV-D),nevadans,66,21032,0.006548918436197659,3.912023005428146,0.02561951958307776
Steve Sisolak (NV-D),ty,45,21032,0.004465171661043858,2.302585092994046,0.01028143770437905
Steve Sisolak (NV-D),vegas,42,21032,0.004167493550307601,2.5257286443082556,0.010525957834981817
Steve Sisolak (NV-D),stayhomefornevada,35,21032,0.0034729112919230005,3.912023005428146,0.013586108869813962
Steve Sisolak (NV-D),kathy,18,21032,0.0017860686644175431,2.5257286443082556,0.004511124786420778
Steve Sisolak (NV-D),ely,16,21032,0.0015876165905933718,3.2188758248682006,0.00511034066262068
Steve Sisolak (NV-D),reno,16,21032,0.0015876165905933718,3.912023005428146,0.006210792626200668
Steve Sisolak (NV-D),nevada’s,15,21032,0.001488390553681286,3.912023005428146,0.0058226180870631266
Tate Reeves (MS-R),mississippi,116,12517,0.02087457261112111,2.5257286443082556,0.052723505981601165
Tate Reeves (MS-R),mississippians,33,12517,0.005938456001439625,3.912023005428146,0.023231376494354652
Tate Reeves (MS-R),ms,30,12517,0.005398596364945114,1.8325814637483102,0.009893367628657425
Tate Reeves (MS-R),tatereeves,19,12517,0.0034191110311319055,3.2188758248682006,0.011005693840650676
Tate Reeves (MS-R),msdh,13,12517,0.002339391758142883,3.912023005428146,0.009151754376563955
Tate Reeves (MS-R),elee,11,12517,0.0019794853338132084,3.912023005428146,0.007743792164784885
Tate Reeves (MS-R),msema,10,12517,0.0017995321216483715,3.912023005428146,0.00703981105889535
Tate Reeves (MS-R),inauguration,8,12517,0.001439625697318697,2.120263536200091,0.0030523858718014625
Tate Reeves (MS-R),dobbs,7,12517,0.00125967248515386,3.912023005428146,0.004927867741226746
Tate Reeves (MS-R),mema,7,12517,0.00125967248515386,3.912023005428146,0.004927867741226746
Tim Walz (MN-D),minnesotans,70,8129,0.01799948572897917,3.912023005428146,0.07041440225764212
Tim Walz (MN-D),minnesota,54,8129,0.013885317562355361,3.2188758248682006,0.044695113022083524
Tim Walz (MN-D),govtimwalz,34,8129,0.008742607354075598,2.8134107167600364,0.024596545222381395
Tim Walz (MN-D),oneminnesota,24,8129,0.0061712522499357166,3.912023005428146,0.02414208077404873
Tim Walz (MN-D),stayhomemn,23,8129,0.005914116739521728,3.912023005428146,0.0231361607417967
Tim Walz (MN-D),mn,22,8129,0.00565698122910774,3.2188758248682006,0.018209120120108103
Tim Walz (MN-D),mnleg,20,8129,0.005142710208279763,3.912023005428146,0.020118400645040606
Tim Walz (MN-D),ー,17,8129,0.004371303677037799,1.2729656758128876,0.005564519539423782
Tim Walz (MN-D),buildonemn,16,8129,0.004114168166623811,3.912023005428146,0.016094720516032484
Tim Walz (MN-D),mnhealth,9,8129,0.0023142195937258937,3.912023005428146,0.009053280290268273
Tom Wolf (PA-D),pennsylvania,176,21633,0.015675097969362308,2.5257286443082556,0.03959104394355655
Tom Wolf (PA-D),governortomwolf,144,21633,0.01282508015675098,2.302585092994046,0.029530838385388548
Tom Wolf (PA-D),pa,110,21633,0.009796936230851443,2.302585092994046,0.022558279322171807
Tom Wolf (PA-D),pennsylvanians,65,21633,0.005789098681866761,3.2188758248682006,0.018634389794837284
Tom Wolf (PA-D),pahealthdept,43,21633,0.0038297114356964732,3.912023005428146,0.014981919240595857
Tom Wolf (PA-D),commonwealth,36,21633,0.003206270039187745,2.302585092994046,0.007382709596347137
Tom Wolf (PA-D),sustaining,30,21633,0.0026718916993231207,1.8325814637483102,0.004896459201322524
Tom Wolf (PA-D),bly,22,21633,0.0019593872461702885,3.912023005428146,0.007665167983560671
Tom Wolf (PA-D),nellie,22,21633,0.0019593872461702885,3.912023005428146,0.007665167983560671
Tom Wolf (PA-D),statesystem,17,21633,0.0015140719629497684,3.912023005428146,0.0059230843509332455
Tony Evers (WI-D),wisconsin,94,12974,0.016654854712969524,2.8134107167600364,0.04685694673554986
Tony Evers (WI-D),folks,50,12974,0.00885896527285613,0.5447271754416719,0.00482571913041878
Tony Evers (WI-D),saferathome,31,12974,0.005492558469170801,3.2188758248682006,0.017679863673088984
Tony Evers (WI-D),dhswi,25,12974,0.004429482636428065,3.912023005428146,0.017328237975851105
Tony Evers (WI-D),wisconsinites,21,12974,0.0037207654145995747,3.912023005428146,0.01455571989971493
Tony Evers (WI-D),govevers,20,12974,0.003543586109142452,2.5257286443082556,0.008950136939433933
Tony Evers (WI-D),designee,15,12974,0.002657689581856839,3.2188758248682006,0.008554772745043055
Tony Evers (WI-D),palm,10,12974,0.001771793054571226,3.912023005428146,0.006931295190340443
Tony Evers (WI-D),andrea,9,12974,0.0015946137491141034,2.8134107167600364,0.004486303410850518
Tony Evers (WI-D),wisconsin's,9,12974,0.0015946137491141034,3.2188758248682006,0.005132863647025834
